year,title,inn,ok1,ok2,ok3,region,of,of_lag,ta_fix,ta_fix_lag,ta_nonfix,ta_nonfix_lag,ta,ta_lag,tp_cap,tp_cap_lag,debt_long,debt_long_lag,tp_long,tp_long_lag,debt_short,debt_short_lag,tp_short,tp_short_lag,tp,tp_lag,sales,sales_lag,profit_operational,profit_operational_lag,exp_interest,exp_interest_lag,profit_before_tax,profit_before_tax_lag,cash_oper_inflow,cash_oper_inflow_sales,paid_to_supplier,paid_to_worker,cash_interest,cash_investment_of
2012,АгроцентрАлтай,2223054589,51,88,2,22.0,2.4,2.7,2.4,2.7,1127.0,867.4,1129.4,870.1,123.8,94.3,0.0,0.0,0.0,42.0,125.1,41.2,1005.6,733.8,1129.4,870.1,1730.5,2302.8,63.9,40.4,0.0,0.0,36.9,43.9,3424.7,2057.0,1625.7,4.8,28.6,0.0
2012,НОВЭКС,2222058686,52,12,0,22.0,122.1,38.7,208.8,42.1,712.9,717.5,921.7,759.6,16.7,5.8,0.0,0.0,1.3,0.9,157.0,78.2,903.6,752.8,921.7,759.6,4582.0,3624.9,59.3,-16.3,9.4,3.1,173.8,71.4,4675.6,4645.9,3066.5,428.9,0.0,118.7
2012,Алтайэнергосбыт,2224103849,40,13,2,22.0,99.4,47.7,133.7,76.0,1423.5,1071.0,1557.3,1147.0,270.1,251.5,0.0,0.0,47.4,32.3,58.7,0.0,1239.8,863.2,1557.3,1147.0,10581.3,10523.7,149.0,600.9,1.6,4.0,46.2,169.7,10581.3,10548.7,10021.0,414.4,1.1,73.0
2012,МСВ,2222059457,51,52,2,22.0,48.0,46.9,48.7,47.1,357.5,349.4,406.2,396.5,137.4,103.1,21.6,28.0,21.9,28.0,162.4,159.1,246.8,265.3,406.2,396.5,1496.2,1217.4,39.2,29.1,22.4,15.7,38.4,20.9,1553.3,1503.0,1514.7,8.3,21.7,2.7
2012,ЛОГИСТ Трейдинг,2223056709,51,36,2,22.0,2.9,0.0,2.9,0.0,1206.9,25.8,1209.8,25.8,1.9,1.1,0.0,0.0,0.0,0.0,3.1,4.0,1207.9,24.7,1209.8,25.8,2315.0,874.7,2.0,2.2,0.3,3.9,1.1,0.4,1558.0,1556.2,1544.9,5.8,0.0,0.0
2012,Алтайский шинный комбинат,2223057318,25,11,0,22.0,170.8,14.0,237.8,236.3,1485.8,1949.9,1723.6,2186.2,861.5,847.9,384.6,299.1,392.6,311.0,0.0,355.0,469.5,1027.4,1723.6,2186.2,3017.1,3751.8,1.1,25.9,47.7,43.3,18.9,24.9,2439.5,2338.3,1944.6,127.7,47.7,16.1
2012,Прайд-А,2204029266,51,39,2,22.0,21.9,21.6,59.1,23.9,1677.9,1658.8,1737.1,1682.7,945.6,28.2,0.0,0.0,0.0,0.0,594.0,509.5,791.5,1654.5,1737.1,1682.7,4540.1,4107.8,442.3,304.4,61.8,54.6,25.1,8.7,6049.4,6025.3,5168.1,53.9,0.0,10.1
2012,АНТ Холдинг,2222062347,50,40,4,22.0,6.0,7.5,6.2,7.5,373.1,246.7,379.3,254.3,131.7,91.9,0.0,0.0,0.0,0.0,120.5,93.6,247.6,162.3,379.3,254.3,1252.7,1260.1,37.3,31.3,11.0,6.4,46.5,39.1,0.0,0.0,0.0,0.0,0.0,0.0
2012,АНТ 2000,2222062354,50,10,2,22.0,3.2,3.9,3.2,3.9,288.2,220.1,291.4,224.0,137.9,87.1,0.0,0.0,0.0,0.0,100.3,83.3,153.4,136.9,291.4,224.0,1402.8,1118.7,49.4,38.2,9.4,6.8,59.9,43.3,0.0,0.0,0.0,0.0,0.0,0.0
2012,Алтайский бройлер,2204043951,1,24,0,22.0,2870.6,3211.6,2890.6,3211.6,1205.0,588.3,4095.6,3799.9,1165.4,698.3,2070.3,2760.0,2070.3,2760.0,700.0,200.0,859.9,341.6,4095.6,3799.9,4480.9,3982.1,538.9,229.0,282.9,323.7,469.4,158.7,4709.3,4459.8,3536.2,464.5,281.7,41.3
